id,nombre,facebook
SB-REST-AUD-8C8640ED,Cocteles & mariscos La Proa.,https://m.facebook.com/LaproaTuxtlacentro
SB-REST-AUD-792D198B,Coliseo's Pizza | Tuxtla Gutiérrez,https://www.facebook.com/coliseospizza
SB-REST-AUD-3C727A7E,Consorcio Social del Café Mexicano | Tuxtla Gutiérrez,https://www.facebook.com/spcafechiapas
SB-REST-AUD-FEB32372,Cortes Bar-B-Q (@cortesbarbq) - Mentions,https://www.facebook.com/cortesbarbq
SB-REST-AUD-EC51AF4C,Cortes Bar-B-Q Boutique de Carne,https://es-la.facebook.com/cortesbarbq
SB-REST-AUD-F8091330,Costa Brava cocina de mar,http://www.facebook.com/costabravacocinadelmar
SB-REST-AUD-70D6BAEE,Costa Brava Mariscos | Tuxtla Gutiérrez,https://www.facebook.com/costabravacocinadelmar
SB-REST-AUD-A2BE1F4D,Costi-Pollos pío | Tuxtla Gutiérrez,https://www.facebook.com/costipollospio
SB-REST-AUD-2FAC2A0B,Dalu Antojitos,https://www.facebook.com/share/SEcEFA8WjfY4EY7n
SB-REST-AUD-C189EACE,De Paco Hamburguesas | Tuxtla Gutiérrez,https://www.facebook.com/DePacoHamburguesas
SB-REST-AUD-04DD60E1,Divina Restaurante | Tuxtla Gutiérrez,https://www.facebook.com/61582808903641
SB-REST-AUD-16B67434,"Domino's Pizza - Почетна - Tuxtla Gutiérrez, Chiapas",https://www.facebook.com/pages/Dominos-Pizza/348972622374439
SB-REST-AUD-39FEDBF9,Domino's Pizza | Tuxtla Gutiérrez,https://www.facebook.com/100089983776091
SB-REST-AUD-A837C320,"Don Carbon ""Hamburguesas"" | Tuxtla Gutiérrez",https://www.facebook.com/HamburguesasDonCarbon
SB-REST-AUD-64F17B4A,Don Filiberto | Tuxtla Gutiérrez,https://www.facebook.com/DonFilibertoTacos
SB-REST-AUD-299A7C80,Don Mele | Tuxtla Gutiérrez,https://www.facebook.com/TaqueriaDonMele
SB-REST-AUD-A6814B3F,Don Rafita - Tacos y Gorditas,https://www.facebook.com/100057554764807
